Wall time,Step,Value
1748926547.2634265,1624,-1009.9935913085938
1748926550.0757694,1888,-1011.4618530273438
1748926557.7316816,2600,-1014.8050537109375
1748926559.751463,2784,-1015.7725830078125
1748926563.7408113,3096,-1017.5886840820312
1748926567.0260682,3352,-1018.1580810546875
1748926569.8076148,3608,-1018.9925537109375
1748926575.0579324,4096,-1007.4082641601562
1748926576.632842,4248,-1009.1659545898438
1748926578.9986517,4464,-1009.5763549804688
1748926584.5400445,4968,-1012.89013671875
1748926594.537167,5856,-1015.5028076171875
1748926597.6727993,6136,-1015.674560546875
1748926602.3459795,6584,-1013.5258178710938
1748926604.8924603,6808,-1024.0877685546875
1748926609.304256,7208,-1022.6543579101562
1748926611.9195743,7448,-1024.033935546875
1748926614.3209293,7656,-1012.9279174804688
1748926617.0410717,7896,-1012.0413818359375
1748926618.3175712,8000,-1011.562255859375
1748926621.068921,8224,-1010.673095703125
1748926622.1650321,8320,-1010.396240234375
1748926622.8986697,8384,-1010.3902587890625
1748926623.733824,8448,-1009.7627563476562
1748926624.3003166,8496,-1010.1781616210938
1748926627.0316522,8736,-1008.7400512695312
1748926628.4476175,8856,-1008.8023071289062
1748926629.763142,8968,-1008.0357055664062
1748926630.5192811,9032,-1007.2857055664062
1748926631.0367086,9080,-1006.8944091796875
1748926631.5582993,9128,-1006.4727783203125
1748926632.936494,9256,-1004.0164184570312
1748926633.3336704,9288,-1014.2434692382812
1748926634.062474,9352,-1014.1880493164062
1748926634.7336013,9416,-1013.1807861328125
1748926636.971999,9616,-1011.8636474609375
1748926639.2499084,9808,-1010.040283203125
1748926639.5477972,9832,-1010.3519897460938
1748926640.095764,9880,-1010.5496215820312
1748926640.4467137,9912,-1009.9886474609375
1748926640.8233333,9944,-1009.9837646484375
1748926642.2260606,10064,-1007.9407958984375
1748926644.7046378,10272,-1006.5529174804688
1748926645.5161965,10344,-1006.3134765625
1748926645.8073404,10368,-1006.2293090820312
1748926648.1081698,10560,-1005.4956665039062
1748926649.064107,10640,-1005.6636962890625
1748926649.667673,10696,-1005.74365234375
1748926652.5441022,10960,-1006.9435424804688
1748926653.3430254,11032,-1007.8822631835938
1748926654.3710413,11128,-1008.4166870117188
1748926657.3346784,11416,-1010.82275390625
1748926659.1300626,11584,-1010.7825927734375
1748926666.7228577,12296,-1015.0635375976562
1748926667.998334,12416,-1014.9713134765625
1748926669.3415463,12536,-1015.0296020507812
1748926670.032893,12600,-1014.99267578125
1748926670.5037436,12640,-1015.0112915039062
1748926671.3424745,12712,-1015.0015869140625
1748926674.7897587,13008,-1013.6122436523438
1748926676.7674265,13168,-1012.4185180664062
1748926678.7084389,13312,-1011.4987182617188
1748926680.2987957,13456,-1011.3055419921875
1748926681.8244824,13584,-1010.9949340820312
1748926683.3506765,13728,-1000.166259765625
1748926690.0024462,14336,-1001.334228515625
1748926695.2070432,14752,-991.857421875
1748926699.6876152,15112,-993.01904296875
1748926701.2028506,15240,-992.4030151367188
